locale,query_or_concept,first_sourceNumber,first_URL,second_sourceNumber,second_URL,overlap_reason,evidence,confidence,recommended_action
en,overall phone condition / full diagnostic,1,https://runcheckapp.com/articles/device-health/android-device-health-check/,7,https://runcheckapp.com/articles/device-health/run-full-diagnostic-android/,overall condition check overlaps a full diagnostic workflow,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,used phone condition / buying checklist,2,https://runcheckapp.com/articles/buying-selling/how-to-check-used-android-phone-condition/,6,https://runcheckapp.com/articles/buying-selling/what-to-check-before-buying-used-android-phone/,both answer pre-purchase condition checks; one should remain condition-led and the other checklist-led,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,battery health / battery percentage,11,https://runcheckapp.com/articles/battery/how-to-check-battery-health-on-android/,13,https://runcheckapp.com/articles/battery/battery-health-percentage/,battery health and percentage meaning can share broad queries but have different explanatory intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,fast battery drain / hidden drain,21,https://runcheckapp.com/articles/battery/why-phone-battery-drains-fast/,25,https://runcheckapp.com/articles/battery/how-to-find-hidden-battery-drain/,broad drain diagnosis overlaps a narrower hidden-drain method,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow charging / will not charge,47,https://runcheckapp.com/articles/charging/phone-charging-slowly/,48,https://runcheckapp.com/articles/charging/phone-wont-charge/,charging speed and complete charging failure are adjacent but distinct problems,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,overheating / thermal throttling,53,https://runcheckapp.com/articles/thermal/how-to-check-phone-temperature-android/,56,https://runcheckapp.com/articles/thermal/what-is-thermal-throttling/,heat symptom overlaps the performance-protection mechanism,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow Android phone / speed up old phone,64,https://runcheckapp.com/articles/performance/why-your-android-phone-is-slow/,65,https://runcheckapp.com/articles/performance/how-to-speed-up-old-android-phone/,diagnosis and improvement intents may share slow-phone queries,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,free storage / false full warning,79,https://runcheckapp.com/articles/storage/free-up-storage-android/,87,https://runcheckapp.com/articles/storage/phone-says-storage-full-when-its-not/,general cleanup overlaps the false-full error intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,Wi-Fi signal / Wi-Fi troubleshooting,90,https://runcheckapp.com/articles/network/check-wifi-signal-strength-android/,96,https://runcheckapp.com/articles/network/how-to-fix-android-wifi-connection-problems/,measurement intent overlaps repair intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,slow phone internet / slow mobile data,91,https://runcheckapp.com/articles/network/why-is-my-phone-internet-so-slow/,97,https://runcheckapp.com/articles/network/why-is-mobile-data-slow-even-with-good-signal/,broad connection diagnosis overlaps mobile-data-only intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,hardware test / diagnostic apps,104,https://runcheckapp.com/articles/hardware/android-hardware-test-guide/,138,https://runcheckapp.com/articles/device-health/best-android-diagnostic-apps-compared/,how-to test workflow overlaps commercial comparison of tools,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,updates stopped / support lifecycle,121,https://runcheckapp.com/articles/software/what-happens-when-android-stops-getting-updates/,123,https://runcheckapp.com/articles/software/is-my-phone-still-supported/,end-of-updates explainer overlaps model support-status lookup,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,security patch / support lifecycle,122,https://runcheckapp.com/articles/software/how-to-check-for-android-security-patches/,123,https://runcheckapp.com/articles/software/is-my-phone-still-supported/,patch-level check overlaps broader support-period lookup,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,safe mode / safe mode versus reset,70,https://runcheckapp.com/articles/performance/how-to-boot-android-safe-mode/,130,https://runcheckapp.com/articles/software/safe-mode-vs-factory-reset/,single-tool guide overlaps comparison/decision intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
en,diagnostic codes / Xiaomi CIT,112,https://runcheckapp.com/articles/hardware/android-diagnostic-codes-complete-list/,159,https://runcheckapp.com/articles/brands/xiaomi-cit-menu-hidden-hardware-tests/,general manufacturer-code list overlaps Xiaomi-specific menu intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,overall phone condition / full diagnostic,1,https://runcheckapp.com/fi/artikkelit/laitteen-kunto/android-puhelimen-kuntotarkistus-nain-selvitat-onko-puhelimesi-kunnossa/,7,https://runcheckapp.com/fi/artikkelit/laitteen-kunto/android-puhelimen-kattava-diagnostiikka/,overall condition check overlaps a full diagnostic workflow,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,used phone condition / buying checklist,2,https://runcheckapp.com/fi/artikkelit/ostaminen-ja-myyminen/nain-tarkistat-onko-kaytetty-android-puhelin-hyvassa-kunnossa/,6,https://runcheckapp.com/fi/artikkelit/ostaminen-ja-myyminen/mita-tarkistaa-ennen-kaytetyn-android-puhelimen-ostamista/,both answer pre-purchase condition checks; one should remain condition-led and the other checklist-led,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,battery health / battery percentage,11,https://runcheckapp.com/fi/artikkelit/akku/nain-tarkistat-android-puhelimen-akun-kunnon-ja-tunnistat-viallisen-akun/,13,https://runcheckapp.com/fi/artikkelit/akku/mita-akun-kuntoprosentti-oikeastaan-tarkoittaa/,battery health and percentage meaning can share broad queries but have different explanatory intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,fast battery drain / hidden drain,21,https://runcheckapp.com/fi/artikkelit/akku/miksi-puhelimen-akku-tyhjenee-niin-nopeasti-kaytannon-android-vianmaaritysopas/,25,https://runcheckapp.com/fi/artikkelit/akku/nain-loydat-piilevan-akunkulutuksen-androidissa/,broad drain diagnosis overlaps a narrower hidden-drain method,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,slow charging / will not charge,47,https://runcheckapp.com/fi/artikkelit/lataaminen/miksi-puhelin-latautuu-hitaasti-syyt-ja-ratkaisut/,48,https://runcheckapp.com/fi/artikkelit/lataaminen/puhelin-ei-lataudu-nain-selvitat-latausongelman/,charging speed and complete charging failure are adjacent but distinct problems,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,overheating / thermal throttling,53,https://runcheckapp.com/fi/artikkelit/kuumeneminen/miksi-android-puhelin-ylikuumenee-ja-miten-sen-lampotilan-voi-tarkistaa/,56,https://runcheckapp.com/fi/artikkelit/kuumeneminen/mita-thermal-throttling-tarkoittaa-ja-miten-se-vaikuttaa-puhelimeen/,heat symptom overlaps the performance-protection mechanism,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,slow Android phone / speed up old phone,64,https://runcheckapp.com/fi/artikkelit/suorituskyky/miksi-android-puhelin-on-hidas-nain-loydat-ja-korjaat-oikean-syyn/,65,https://runcheckapp.com/fi/artikkelit/suorituskyky/nain-nopeutat-vanhaa-android-puhelinta/,diagnosis and improvement intents may share slow-phone queries,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,free storage / false full warning,79,https://runcheckapp.com/fi/artikkelit/tallennustila/nain-vapautat-androidin-tallennustilaa-menettamatta-tarkeaa-sisaltoa/,87,https://runcheckapp.com/fi/artikkelit/tallennustila/miksi-puhelin-vaittaa-tallennustilan-olevan-taynna-vaikka-se-ei-nayta-silta/,general cleanup overlaps the false-full error intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,Wi-Fi signal / Wi-Fi troubleshooting,90,https://runcheckapp.com/fi/artikkelit/verkkoyhteydet/wi-fi-signaalin-voimakkuuden-tarkistaminen-androidissa/,96,https://runcheckapp.com/fi/artikkelit/verkkoyhteydet/androidin-wi-fi-yhteysongelmien-korjaaminen/,measurement intent overlaps repair intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,slow phone internet / slow mobile data,91,https://runcheckapp.com/fi/artikkelit/verkkoyhteydet/miksi-puhelimen-internetyhteys-on-niin-hidas/,97,https://runcheckapp.com/fi/artikkelit/verkkoyhteydet/miksi-mobiilidata-on-hidasta-vaikka-signaali-on-vahva/,broad connection diagnosis overlaps mobile-data-only intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,hardware test / diagnostic apps,104,https://runcheckapp.com/fi/artikkelit/laitteisto/android-puhelimen-laitteiston-testaaminen-kattava-diagnostiikkaopas-2026/,138,https://runcheckapp.com/fi/artikkelit/laitteen-kunto/parhaat-android-diagnostiikkasovellukset-vertailussa-2026/,how-to test workflow overlaps commercial comparison of tools,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,updates stopped / support lifecycle,121,https://runcheckapp.com/fi/artikkelit/ohjelmisto/mita-tapahtuu-kun-android-ei-enaa-saa-paivityksia/,123,https://runcheckapp.com/fi/artikkelit/ohjelmisto/onko-puhelimeni-yha-tuettu-nain-tarkistat-androidin-paivitys-ja-tietoturvatuen/,end-of-updates explainer overlaps model support-status lookup,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,security patch / support lifecycle,122,https://runcheckapp.com/fi/artikkelit/ohjelmisto/nain-tarkistat-androidin-tietoturvakorjaukset/,123,https://runcheckapp.com/fi/artikkelit/ohjelmisto/onko-puhelimeni-yha-tuettu-nain-tarkistat-androidin-paivitys-ja-tietoturvatuen/,patch-level check overlaps broader support-period lookup,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,safe mode / safe mode versus reset,70,https://runcheckapp.com/fi/artikkelit/suorituskyky/android-puhelimen-kaynnistaminen-vikasietotilaan-ja-milloin-sita-kannattaa-kayttaa/,130,https://runcheckapp.com/fi/artikkelit/ohjelmisto/vikasietotila-vai-tehdasasetusten-palautus-kumpaa-kannattaa-kokeilla-ensin/,single-tool guide overlaps comparison/decision intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
fi-FI,diagnostic codes / Xiaomi CIT,112,https://runcheckapp.com/fi/artikkelit/laitteisto/androidin-diagnostiikkakoodit-taydellinen-luettelo-valmistajittain/,159,https://runcheckapp.com/fi/artikkelit/merkkikohtaiset-oppaat/xiaomin-cit-valikko-piilotetut-laitteistotestit-xiaomi-redmi-ja-poco-laitteille/,general manufacturer-code list overlaps Xiaomi-specific menu intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,overall phone condition / full diagnostic,1,https://runcheckapp.com/sv/artiklar/enhetshalsa/halsokontroll-for-android-sa-ser-du-om-telefonen-ar-i-bra-skick/,7,https://runcheckapp.com/sv/artiklar/enhetshalsa/sa-kor-du-en-fullstandig-diagnostik-pa-en-android-telefon/,overall condition check overlaps a full diagnostic workflow,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,used phone condition / buying checklist,2,https://runcheckapp.com/sv/artiklar/kopa-och-salja/sa-kontrollerar-du-om-en-begagnad-android-telefon-ar-i-bra-skick/,6,https://runcheckapp.com/sv/artiklar/kopa-och-salja/det-har-bor-du-kontrollera-innan-du-koper-en-begagnad-android-telefon/,both answer pre-purchase condition checks; one should remain condition-led and the other checklist-led,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,battery health / battery percentage,11,https://runcheckapp.com/sv/artiklar/batteri/sa-kontrollerar-du-batterihalsan-pa-android-och-upptacker-ett-utslitet-batteri/,13,https://runcheckapp.com/sv/artiklar/batteri/vad-betyder-batterihalsa-i-procent-egentligen/,battery health and percentage meaning can share broad queries but have different explanatory intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,fast battery drain / hidden drain,21,https://runcheckapp.com/sv/artiklar/batteri/varfor-telefonens-batteri-tar-slut-sa-snabbt-en-praktisk-felsokningsguide-for-android/,25,https://runcheckapp.com/sv/artiklar/batteri/sa-hittar-du-dold-batteriurladdning-pa-android/,broad drain diagnosis overlaps a narrower hidden-drain method,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,slow charging / will not charge,47,https://runcheckapp.com/sv/artiklar/laddning/varfor-laddar-mobilen-sa-langsamt-orsaker-och-losningar/,48,https://runcheckapp.com/sv/artiklar/laddning/telefonen-laddar-inte-sa-felsoker-du-laddningsproblem/,charging speed and complete charging failure are adjacent but distinct problems,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,overheating / thermal throttling,53,https://runcheckapp.com/sv/artiklar/varme/varfor-android-telefonen-blir-overhettad-och-hur-du-kontrollerar-temperaturen/,56,https://runcheckapp.com/sv/artiklar/varme/vad-ar-termisk-strypning-och-hur-paverkar-den-telefonen/,heat symptom overlaps the performance-protection mechanism,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,slow Android phone / speed up old phone,64,https://runcheckapp.com/sv/artiklar/prestanda/darfor-ar-din-android-telefon-langsam-hitta-och-atgarda-det-verkliga-problemet/,65,https://runcheckapp.com/sv/artiklar/prestanda/sa-gor-du-en-gammal-android-telefon-snabbare/,diagnosis and improvement intents may share slow-phone queries,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,free storage / false full warning,79,https://runcheckapp.com/sv/artiklar/lagring/sa-frigor-du-lagringsutrymme-i-android-utan-att-forlora-nagot/,87,https://runcheckapp.com/sv/artiklar/lagring/varfor-telefonen-sager-att-lagringsutrymmet-ar-fullt-fast-det-inte-ar-det/,general cleanup overlaps the false-full error intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,Wi-Fi signal / Wi-Fi troubleshooting,90,https://runcheckapp.com/sv/artiklar/natverk/sa-kontrollerar-du-wifi-signalstyrkan-pa-android/,96,https://runcheckapp.com/sv/artiklar/natverk/sa-loser-du-anslutningsproblem-med-wi-fi-pa-android/,measurement intent overlaps repair intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,slow phone internet / slow mobile data,91,https://runcheckapp.com/sv/artiklar/natverk/varfor-ar-internet-sa-langsamt-pa-min-telefon/,97,https://runcheckapp.com/sv/artiklar/natverk/varfor-ar-mobildatan-langsam-trots-bra-signal/,broad connection diagnosis overlaps mobile-data-only intent,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
sv-SE,hardware test / diagnostic apps,104,https://runcheckapp.com/sv/artiklar/hardvara/sa-testar-du-hardvaran-i-en-android-telefon-komplett-diagnostikguide-2026/,138,https://runcheckapp.com/sv/artiklar/enhetshalsa/de-basta-diagnostikapparna-for-android-jamforda-2026/,how-to test workflow overlaps commercial comparison of tools,"HYPOTHESIS ONLY: title/H1/topic overlap in the same locale. No GSC page-by-query data was available, so this is not confirmed cannibalization.",LOW,"Do not merge, redirect, or rewrite now. Preserve the distinct intent; validate with GSC query × page data and then adjust meta/internal anchors only if overlap is measured."
