"topic_cluster","English concept","locale","recommended primary term","accepted alternatives","terms to avoid","source or evidence","confidence","affected article count"
"battery health and capacity","battery health","fi-FI","akun kunto","akun kapasiteetti; akun tila in generic status context","akun terveys","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","76"
"fast battery drain","battery drains fast","fi-FI","akku tyhjenee nopeasti","nopea virrankulutus; akun nopea purkautuminen","akun drainaaminen","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","7"
"charging and chargers","charging / charger","fi-FI","lataaminen; laturi","lataus; verkkolaite when technically exact","chargaus","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","102"
"heat and overheating","overheating","fi-FI","ylikuumeneminen","puhelin kuumenee; kuumeneminen","overheattaus","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","26"
"thermal throttling","thermal throttling","fi-FI","lämpötilasta johtuva suorituskyvyn rajoittaminen","thermal throttling once with explanation","terminen kuristus without explanation","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","7"
"storage and freeing space","storage / free storage","fi-FI","tallennustila; vapauta tallennustilaa","sisäinen tallennustila; vapaa tila","varasto","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","8"
"slow phone and performance","slow phone","fi-FI","hidas puhelin; puhelin on hidas","suorituskyky; hidastelu","performanssi as default","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","74"
"Wi-Fi, mobile network and signal strength","signal strength","fi-FI","signaalin voimakkuus","mobiilisignaali; Wi-Fi-signaali","signaalivahvuus as the only term","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","29"
"buying used or refurbished phones","used / refurbished phone","fi-FI","käytetty puhelin; kunnostettu puhelin","vaihtolaite when applicable","refurbished-puhelin as default","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","0"
"repair, warranty and consumer decisions","repair / warranty","fi-FI","korjaus; takuu; kuluttajansuoja","huolto; huoltoliike","warranty","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","medium","53"
"security, factory reset and FRP","factory reset / FRP","fi-FI","tehdasasetusten palautus; Factory Reset Protection (FRP)","laitteen tyhjennys only when exact","factory reset without Finnish explanation","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","0"
"Android settings and diagnostics","Settings / diagnostics","fi-FI","Asetukset; diagnostiikka","diagnostiikkasovellus; Tietoja puhelimesta","asetukset-polku invented without verification","runcheck-translation-profile-fi-FI.md; https://support.google.com/pixelphone/answer/15738128?hl=fi","high","39"
"battery health and capacity","battery health","sv-SE","batterihälsa","batterikapacitet; batteriets skick in broad prose","batteritillstånd as a blanket replacement","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","74"
"fast battery drain","battery drains fast","sv-SE","batteriet laddas ur snabbt","hög batteriförbrukning","battery drain untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","11"
"charging and chargers","charging / charger","sv-SE","laddning; laddare","uppladdning only where natural","charging untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","12"
"heat and overheating","overheating","sv-SE","överhettning","telefonen blir varm","overheating untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","33"
"thermal throttling","thermal throttling","sv-SE","termisk strypning","explanation that heat limits performance","thermal throttling without explanation","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","20"
"storage and freeing space","storage / free storage","sv-SE","lagring; frigör lagringsutrymme","intern lagring; ledigt utrymme","storage untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","19"
"slow phone and performance","slow phone","sv-SE","långsam telefon","prestanda; telefonen känns seg","performans","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","82"
"Wi-Fi, mobile network and signal strength","signal strength","sv-SE","signalstyrka","mobilsignal; Wi-Fi-signal","signal strength untranslated","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","40"
"buying used or refurbished phones","used / refurbished phone","sv-SE","begagnad telefon; rekonditionerad telefon","renoverad when context supports it","refurbished as default","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","0"
"repair, warranty and consumer decisions","repair / warranty","sv-SE","reparation; garanti; konsumentskydd","reparationsverkstad","warranty","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","medium","17"
"security, factory reset and FRP","factory reset / FRP","sv-SE","fabriksåterställning; Factory Reset Protection (FRP)","återställning when unambiguous","factory reset without explanation","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","59"
"Android settings and diagnostics","Settings / diagnostics","sv-SE","Inställningar; diagnostik","diagnostikapp; Om telefonen","invented UI labels","runcheck-translation-profile-sv-SE.md; https://support.google.com/pixelphone/answer/15738128?hl=sv","high","146"
"battery health and capacity","battery health","nb-NO","batterihelse","Batteritilstand for verified Pixel UI; batterikapasitet","batterisundhed","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","75"
"fast battery drain","battery drains fast","nb-NO","batteriet tømmes raskt","høyt strømforbruk","battery drain untranslated","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","medium","2"
"charging and chargers","charging / charger","nb-NO","lading; lader","opplading","opladning","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","8"
"heat and overheating","overheating","nb-NO","overoppheting","telefonen blir varm","overheating untranslated","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","41"
"thermal throttling","thermal throttling","nb-NO","termisk struping","explanation that heat limits performance","termisk drosling as Danish carryover","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","medium","19"
"storage and freeing space","storage / free storage","nb-NO","lagring; frigjør lagringsplass","intern lagring; ledig plass","lagerplads","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","21"
"slow phone and performance","slow phone","nb-NO","treg telefon","ytelse; telefonen er langsom","ydeevne","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","medium","83"
"Wi-Fi, mobile network and signal strength","signal strength","nb-NO","signalstyrke","mobilsignal; Wi-Fi-signal","signalstyrka","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","35"
"buying used or refurbished phones","used / refurbished phone","nb-NO","brukt telefon; renovert telefon","refurbished retained only with explanation","istandsatt as Danish carryover","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","medium","0"
"repair, warranty and consumer decisions","repair / warranty","nb-NO","reparasjon; garanti; forbrukerrettigheter","verksted","EU law stated as automatically Norwegian","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","31"
"security, factory reset and FRP","factory reset / FRP","nb-NO","tilbakestilling til fabrikkinnstillinger; Factory Reset Protection (FRP)","fabrikktilbakestilling when natural","nulstilling","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","3"
"Android settings and diagnostics","Settings / diagnostics","nb-NO","Innstillinger; diagnostikk","diagnoseapp; Om telefonen","Danish or Swedish UI labels","runcheck-translation-profile-nb-NO.md; https://support.google.com/pixelphone/answer/15738128?hl=no","high","84"
"battery health and capacity","battery health","da-DK","batteritilstand","batterikapacitet","batterisundhed","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","75"
"fast battery drain","battery drains fast","da-DK","batteriet aflades hurtigt","højt strømforbrug","battery drain untranslated","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","medium","1"
"charging and chargers","charging / charger","da-DK","opladning; oplader","ladning in technical context","lading","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","0"
"heat and overheating","overheating","da-DK","overophedning","telefonen bliver varm","overheating untranslated","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","41"
"thermal throttling","thermal throttling","da-DK","termisk begrænsning","explanation that heat lowers performance","thermal throttling without explanation","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","medium","21"
"storage and freeing space","storage / free storage","da-DK","lagerplads; frigør lagerplads","intern lagerplads; ledig plads","lagring as Norwegian carryover","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","18"
"slow phone and performance","slow phone","da-DK","langsom telefon","ydeevne; telefonen føles langsom","ytelse","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","medium","72"
"Wi-Fi, mobile network and signal strength","signal strength","da-DK","signalstyrke","mobilsignal; Wi-Fi-signal","signalstyrka","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","39"
"buying used or refurbished phones","used / refurbished phone","da-DK","brugt telefon; istandsat telefon","renoveret when context supports it","refurbished as default","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","medium","0"
"repair, warranty and consumer decisions","repair / warranty","da-DK","reparation; garanti; forbrugerbeskyttelse","værksted","warranty","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","medium","28"
"security, factory reset and FRP","factory reset / FRP","da-DK","nulstilling til fabriksindstillinger; Factory Reset Protection (FRP)","gendannelse af fabriksindstillinger for verified UI wording","factory reset without explanation","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","0"
"Android settings and diagnostics","Settings / diagnostics","da-DK","Indstillinger; diagnostik","diagnoseapp; Om telefonen","Norwegian or Swedish UI labels","runcheck-translation-profile-da-DK.md; https://support.google.com/pixelphone/answer/15738128?hl=da","high","83"
"battery health and capacity","battery health","de-DE","Akkuzustand","Akkukapazität","Akkugesundheit","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","74"
"fast battery drain","battery drains fast","de-DE","Akku entlädt sich schnell","hoher Akkuverbrauch","Batterie drain","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","medium","3"
"charging and chargers","charging / charger","de-DE","Laden; Ladegerät","Aufladen","Charging as default","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","4"
"heat and overheating","overheating","de-DE","Überhitzung","Smartphone wird heiß","Overheating untranslated","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","16"
"thermal throttling","thermal throttling","de-DE","thermische Drosselung","Leistungsdrosselung durch Hitze","thermal throttling without explanation","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","16"
"storage and freeing space","storage / free storage","de-DE","Speicher; Speicherplatz freigeben","interner Speicher; freier Speicherplatz","Storage untranslated","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","8"
"slow phone and performance","slow phone","de-DE","langsames Smartphone","Leistung; Smartphone wird langsamer","Performance as the only term","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","medium","112"
"Wi-Fi, mobile network and signal strength","signal strength","de-DE","Signalstärke","Mobilfunksignal; WLAN-Signal","Signal strength untranslated","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","32"
"buying used or refurbished phones","used / refurbished phone","de-DE","gebrauchtes Smartphone; generalüberholtes Smartphone","refurbished with explanation","used phone untranslated","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","0"
"repair, warranty and consumer decisions","repair / warranty","de-DE","Reparatur; Garantie; Verbraucherschutz","Reparaturwerkstatt","warranty","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","medium","15"
"security, factory reset and FRP","factory reset / FRP","de-DE","Zurücksetzen auf Werkseinstellungen; Factory Reset Protection (FRP)","Werksreset after first explanation","factory reset without explanation","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","0"
"Android settings and diagnostics","Settings / diagnostics","de-DE","Einstellungen; Diagnose","Diagnose-App; Über das Telefon","invented universal Battery Health label","runcheck-translation-profile-de-DE.md; https://support.google.com/pixelphone/answer/15738128?hl=de-DE","high","53"
"battery health and capacity","battery health","fr-FR","état de la batterie","capacité de la batterie; santé de la batterie only in broader health prose","état de santé de la pile (fr-CA)","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","74"
"fast battery drain","battery drains fast","fr-FR","batterie se décharge rapidement","consommation élevée de la batterie","battery drain untranslated","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","medium","0"
"charging and chargers","charging / charger","fr-FR","recharge; chargeur","charge when context is clear","charging untranslated","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","152"
"heat and overheating","overheating","fr-FR","surchauffe","téléphone chauffe","overheating untranslated","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","46"
"thermal throttling","thermal throttling","fr-FR","bridage thermique","baisse de performances due à la chaleur","thermal throttling without explanation","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","20"
"storage and freeing space","storage / free storage","fr-FR","stockage; libérer de l’espace","stockage interne; espace disponible","mémoire when storage is meant","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","15"
"slow phone and performance","slow phone","fr-FR","smartphone lent","performances; téléphone ralentit","slow phone untranslated","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","medium","82"
"Wi-Fi, mobile network and signal strength","signal strength","fr-FR","puissance du signal","signal mobile; signal Wi-Fi","force du signal as sole term","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","35"
"buying used or refurbished phones","used / refurbished phone","fr-FR","smartphone d’occasion; smartphone reconditionné","téléphone d’occasion","cellulaire usagé","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","2"
"repair, warranty and consumer decisions","repair / warranty","fr-FR","réparation; garantie; protection des consommateurs","réparateur; atelier de réparation","warranty","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","medium","23"
"security, factory reset and FRP","factory reset / FRP","fr-FR","réinitialisation d’usine; Factory Reset Protection (FRP)","rétablissement de la configuration d’usine","factory reset without explanation","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","0"
"Android settings and diagnostics","Settings / diagnostics","fr-FR","Paramètres; diagnostic","application de diagnostic; À propos du téléphone","invented Battery Health label","runcheck-translation-profile-fr-FR.md; https://support.google.com/pixelphone/answer/15738128?hl=fr-FR","high","56"
"battery health and capacity","battery health","es-ES","estado de la batería","capacidad de la batería; salud de la batería in broader health prose","salud de batería as the primary UI term","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","74"
"fast battery drain","battery drains fast","es-ES","la batería se descarga rápido","consumo elevado de batería","drenaje de batería as default","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","medium","1"
"charging and chargers","charging / charger","es-ES","carga; cargador","recarga","charging untranslated","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","28"
"heat and overheating","overheating","es-ES","sobrecalentamiento","el móvil se calienta","calentamiento excesivo as a rigid calque","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","34"
"thermal throttling","thermal throttling","es-ES","limitación térmica","reducción del rendimiento por calor","estrangulamiento térmico as default","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","medium","20"
"storage and freeing space","storage / free storage","es-ES","almacenamiento; liberar espacio","almacenamiento interno; espacio libre","memoria when storage is meant","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","24"
"slow phone and performance","slow phone","es-ES","móvil lento","rendimiento; el móvil va lento","teléfono lento only as mandatory replacement","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","medium","81"
"Wi-Fi, mobile network and signal strength","signal strength","es-ES","intensidad de la señal","señal móvil; señal Wi-Fi","potencia de señal as the only term","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","33"
"buying used or refurbished phones","used / refurbished phone","es-ES","móvil de segunda mano; móvil reacondicionado","teléfono de segunda mano","celular usado; celular reacondicionado","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","1"
"repair, warranty and consumer decisions","repair / warranty","es-ES","reparación; garantía; protección de los consumidores","servicio técnico; taller de reparación","warranty","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","medium","28"
"security, factory reset and FRP","factory reset / FRP","es-ES","restablecimiento de fábrica; Factory Reset Protection (FRP)","restablecer estado de fábrica for verified UI wording","reseteo de fábrica as primary term","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","0"
"Android settings and diagnostics","Settings / diagnostics","es-ES","Ajustes; diagnóstico","aplicación de diagnóstico; Información del teléfono","Configuración or celular as imported LatAm UI defaults","runcheck-translation-profile-es-ES.md; https://support.google.com/pixelphone/answer/15738128?hl=es","high","54"
"battery health and capacity","battery health","it-IT","stato della batteria","capacità della batteria","salute della batteria as the primary UI term","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","74"
"fast battery drain","battery drains fast","it-IT","la batteria si scarica velocemente","consumo elevato della batteria","battery drain untranslated","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","medium","0"
"charging and chargers","charging / charger","it-IT","ricarica; caricabatterie","carica","charging untranslated","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","146"
"heat and overheating","overheating","it-IT","surriscaldamento","lo smartphone si scalda","overheating untranslated","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","17"
"thermal throttling","thermal throttling","it-IT","thermal throttling","limitazione delle prestazioni dovuta al calore","thermal throttling without explanation","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","medium","19"
"storage and freeing space","storage / free storage","it-IT","memoria; liberare spazio","memoria interna; spazio libero","storage untranslated","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","35"
"slow phone and performance","slow phone","it-IT","smartphone lento","prestazioni; lo smartphone rallenta","telefono lento as mandatory replacement","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","medium","59"
"Wi-Fi, mobile network and signal strength","signal strength","it-IT","potenza del segnale","segnale mobile; segnale Wi-Fi","signal strength untranslated","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","31"
"buying used or refurbished phones","used / refurbished phone","it-IT","smartphone usato; smartphone ricondizionato","telefono usato","refurbished as default","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","9"
"repair, warranty and consumer decisions","repair / warranty","it-IT","riparazione; garanzia; tutela dei consumatori","centro di riparazione","warranty","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","medium","14"
"security, factory reset and FRP","factory reset / FRP","it-IT","ripristino dei dati di fabbrica; Factory Reset Protection (FRP)","ripristino delle impostazioni di fabbrica","factory reset without explanation","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","0"
"Android settings and diagnostics","Settings / diagnostics","it-IT","Impostazioni; diagnostica","app di diagnostica; Informazioni sul telefono","invented UI labels","runcheck-translation-profile-it-IT.md; https://support.google.com/pixelphone/answer/15738128?hl=it","high","48"
